test_number,stageinflight,time(s),ax(ms2),ay(ms2),az(ms2),gx(deg/s),gy(deg/s),gz(deg/s),pitch_error(deg),roll_error(deg),yaw_error(deg),m0_output(pwm),m1_output(pwm),m2_output(pwm),m3_output(pwm)
3, 1, 56.16, -0.66, 0.25, 9.61, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1003.89, 1007.52, 1004.10, 1012.49
3, 1, 56.17, -0.64, 0.24, 9.67, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.89, 1007.52, 1004.11, 1012.49
3, 1, 56.17, -0.58, 0.24, 9.67, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1003.89, 1007.52, 1004.11, 1012.49
3, 1, 56.17, -0.66, 0.18, 9.72, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1003.89, 1007.52, 1004.10, 1012.48
3, 1, 56.18, -0.68, 0.24, 9.71, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.88, 1006.52, 1003.11, 1011.49
3, 1, 56.18, -0.64, 0.18, 9.66, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.88, 1006.53, 1003.11, 1011.48
3, 1, 56.19, -0.67, 0.17, 9.77, 0.00, -0.00, -0.00, -0.01, -0.03, 0.00, 1002.89, 1006.53, 1003.11, 1011.48
3, 1, 56.19, -0.66, 0.26, 9.69, -0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.88, 1006.52, 1003.11, 1011.49
3, 1, 56.19, -0.63, 0.27, 9.75, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.88, 1006.52, 1003.11, 1011.49
3, 1, 56.20, -0.71, 0.20, 9.76, 0.00, 0.00, 0.00, -0.01, -0.03, 0.00, 1002.88, 1006.53, 1003.11, 1011.49
3, 1, 56.20, -0.64, 0.25, 9.67, -0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.88, 1006.53, 1003.11, 1011.48
3, 1, 56.21, -0.65, 0.21, 9.67, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.88, 1006.53, 1003.11, 1011.48
3, 1, 56.21, -0.65, 0.20, 9.64, 0.00, -0.00, 0.00, -0.01, -0.03, 0.00, 1002.88, 1006.53, 1003.11, 1011.48
3, 1, 56.21, -0.64, 0.19, 9.68, 0.00, 0.00, -0.00, -0.01, -0.03, 0.00, 1002.88, 1006.53, 1003.11, 1011.48
